sequence,distribution,dimension,n,backend,order,input_sha256,input_generation_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,normal,30,256,gpu,1,97115ce980ca97d156929444c7a2e0bdc12f09ebb532e089b42139d44587eb68,1.1724381490002997,0.492735975999949,"[0.0002610149999782152, 0.0002623420000418264, 0.0002470710001034604, 0.0002244870001959498, 0.00022729100010110415, 0.00022794899996370077, 0.00021934200003670412]",0.00022794899996370077,0.00022588900014852697,0.0002540430000408378
sobol,normal,30,512,gpu,0,1f46a521b5ef4c25dc17ef07224f045fef6155565c9253cc882fc8298969b9c2,1.1665962519996356,0.5593573609999112,"[0.0002937269996436953, 0.0003409109999665816, 0.00025976599999921746, 0.00024992999988171505, 0.00024256500000774395, 0.00027343900001142174, 0.00023126200039769174]",0.00025976599999921746,0.0002462474999447295,0.0002835829998275585
sobol,normal,30,512,cpu,1,1f46a521b5ef4c25dc17ef07224f045fef6155565c9253cc882fc8298969b9c2,1.1665962519996356,0.21511686899975757,"[0.00043519300015759654, 0.0003769790000660578, 0.0003721600000972103, 0.0004228180000609427, 0.0003714829999807989, 0.0003019759997187066, 0.0003439940001044306]",0.0003721600000972103,0.00035773850004261476,0.00039989850006350025
sobol,normal,30,2048,cpu,0,628983bd9c4fc62107762ac8637eba98244865017e15ec5c8b63ab98cb97e6f9,1.419597615999919,0.24583176400028606,"[0.0011678189998747257, 0.0010834849999810103, 0.0012434680002115783, 0.0011422640000091633, 0.0011989169997832505, 0.001198970000132249, 0.0011544969997885346]",0.0011678189998747257,0.001148380499898849,0.0011989434999577497
sobol,normal,30,2048,gpu,1,628983bd9c4fc62107762ac8637eba98244865017e15ec5c8b63ab98cb97e6f9,1.419597615999919,0.7398902929999167,"[0.0003067249999730848, 0.00032814599990160787, 0.0003312180001557863, 0.00032128300017575384, 0.00031858600004852633, 0.00032100699991133297, 0.00033253099991270574]",0.00032128300017575384,0.00031979649997992965,0.0003296820000286971
sobol,normal,30,8192,gpu,0,f406792c26c8e60c9cfd71f1ffe0def18b8c90d4d705368490175ae568520550,1.301632097000038,0.7704045760001463,"[0.00031033799996293965, 0.000338134999765316, 0.0003265119999014132, 0.0003220899998268578, 0.000337816999945062, 0.00036522999971566605, 0.0003391429995645012]",0.000337816999945062,0.0003243009998641355,0.0003386389996649086
sobol,normal,30,8192,cpu,1,f406792c26c8e60c9cfd71f1ffe0def18b8c90d4d705368490175ae568520550,1.301632097000038,0.22453693500028749,"[0.0035617079997791734, 0.0035706979997485178, 0.0035705770001186465, 0.0035060860000157845, 0.0032469900002070062, 0.0036139849999017315, 0.003525910999996995]",0.0035617079997791734,0.00351599850000639,0.003570637499933582
sobol,normal,30,32768,cpu,0,f104193ea1af982c10b6746eec08f03d93f2025685b9d93bdd033ad1acc8fee7,1.3901254110000991,0.23207954899999095,"[0.01212482800019643, 0.01294141700009277, 0.012342814000021463, 0.013129484999808483, 0.012800902999970276, 0.012841290999858757, 0.0122635010002341]",0.012800902999970276,0.012303157500127782,0.012891353999975763
sobol,normal,30,32768,gpu,1,f104193ea1af982c10b6746eec08f03d93f2025685b9d93bdd033ad1acc8fee7,1.3901254110000991,0.7897300390000055,"[0.00042523100000835257, 0.00045192499965196475, 0.00044783399971493054, 0.00044673900038105785, 0.00048272300000462565, 0.0004499410001699289, 0.00044587899992620805]",0.00044783399971493054,0.00044630900015363295,0.0004509329999109468
sobol,normal,30,131072,gpu,0,5b2d59fe5ef6e33b52104add6818d103d4b0ebe99dca42a82b453ee559e79952,1.5765539880003416,0.5972582730000795,"[0.000657041000067693, 0.0006832170001871418, 0.0006719640000483196, 0.0006713190000482427, 0.0006666510003014992, 0.0006640450001214049, 0.0006768520001969591]",0.0006713190000482427,0.000665348000211452,0.0006744080001226394
