sequence,dimension,n,mode,scramble,implementation,backend,order,repetition_seeds,setup_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,30,8192,fresh,True,jax,cpu,0,"[1611413340, 3993258213, 2765294264, 543014862, 1152912644, 3204446335, 3704038179]",0.0037017730001025484,0.5740745749999405,"[0.0009338190000107716, 0.0010311789999377652, 0.0009136240000771068, 0.0008168720000867324, 0.0007975150001584552, 0.0008692730000348092, 0.00099471899989112]",0.0009136240000771068,0.0008430725000607708,0.0009642689999509457
sobol,30,8192,fresh,True,jax,gpu,1,"[1611413340, 3993258213, 2765294264, 543014862, 1152912644, 3204446335, 3704038179]",0.006445302999964042,2.3241182100000515,"[0.00035127899991493905, 0.00030984999989414064, 0.00029572900007224234, 0.00034408999999868684, 0.0002850260000286653, 0.0002771279998796672, 0.000266925000005358]",0.00029572900007224234,0.00028107699995416624,0.00032696999994641374
sobol,30,8192,fresh,True,scipy,cpu,2,"[1611413340, 3993258213, 2765294264, 543014862, 1152912644, 3204446335, 3704038179]",0.0034959489998982463,0.0058497989998613775,"[0.002736195999887059, 0.0028002669998841156, 0.00270551600010549, 0.002719433000038407, 0.002725742000166065, 0.0027329829999871436, 0.0027054939998834016]",0.002725742000166065,0.0027124745000719486,0.002734589499937101
sobol,30,32768,fresh,True,jax,gpu,0,"[2539701973, 595695643, 3154785857, 2405556178, 2484898573, 4128546687, 3187570439]",0.00023262499985321483,2.75624007600004,"[0.00039764100006323133, 0.0004133299999011797, 0.00045357499993770034, 0.00046137300000737014, 0.00038237099988691625, 0.0004148660000282689, 0.00040394799998466624]",0.0004133299999011797,0.0004007945000239488,0.0004342204999829846
sobol,30,32768,fresh,True,scipy,cpu,1,"[2539701973, 595695643, 3154785857, 2405556178, 2484898573, 4128546687, 3187570439]",0.0037513449999551085,0.008450733000017863,"[0.004771785999992062, 0.004735597000035341, 0.004748736000010467, 0.004718632999811234, 0.0046804749999864725, 0.004698231000020314, 0.0047204959998907725]",0.0047204959998907725,0.004708431999915774,0.004742166500022904
sobol,30,32768,fresh,True,jax,cpu,2,"[2539701973, 595695643, 3154785857, 2405556178, 2484898573, 4128546687, 3187570439]",0.00026819299978342315,0.6301111239999955,"[0.002405641999985164, 0.0022363970001606504, 0.0022612029999891092, 0.002767845000107627, 0.002382951999834404, 0.0019150010000430484, 0.003976918999796908]",0.002382951999834404,0.00224880000007488,0.0025867435000463956
sobol,30,131072,fresh,True,scipy,cpu,0,"[2412217241, 3375490966, 3228085828, 237413427, 2355817224, 2219906863, 3821097755]",0.006502907000140112,0.0254455169999801,"[0.023425555999892822, 0.01884186999996018, 0.01342528999998649, 0.01308435000009922, 0.013110362000134046, 0.012978715000144803, 0.01301068599991595]",0.013110362000134046,0.013047518000007585,0.016133579999973335
sobol,30,131072,fresh,True,jax,cpu,1,"[2412217241, 3375490966, 3228085828, 237413427, 2355817224, 2219906863, 3821097755]",0.0002827700000125333,0.7459834269998282,"[0.02484407299994018, 0.021445464999942487, 0.02236476699999912, 0.023956042999998317, 0.02028660700011642, 0.024081629999955112, 0.023622041999942667]",0.023622041999942667,0.021905115999970803,0.024018836499976715
sobol,30,131072,fresh,True,jax,gpu,2,"[2412217241, 3375490966, 3228085828, 237413427, 2355817224, 2219906863, 3821097755]",0.005983109999988301,1.811919140999862,"[0.00047806500015212805, 0.0005353349999950296, 0.0005001679999168118, 0.0005181889998766565, 0.000564940000003844, 0.0005366770001273835, 0.000503421999837883]",0.0005181889998766565,0.0005017949998773474,0.0005360060000612066
sobol,60,128,fresh,True,jax,cpu,0,"[1435798803, 123631634, 401477532, 2830389294, 3486143785, 2006644207, 53565210]",0.005177586000172596,0.5321918360000382,"[0.0003555620000952331, 0.00038088799988145183, 0.00030212800015760877, 0.00031867799998508417, 0.0003743269999176846, 0.0003374289999555913, 0.00033351299998685136]",0.0003374289999555913,0.00032609549998596776,0.00036494450000645884
sobol,60,128,fresh,True,jax,gpu,1,"[1435798803, 123631634, 401477532, 2830389294, 3486143785, 2006644207, 53565210]",0.00401555799999187,1.591051903000107,"[0.000172120999877734, 0.0001947939999809023, 0.00020768199988197011, 0.00019492299998091767, 0.00018708699985836574, 0.0002571420000094804, 0.00022200599983079883]",0.00019492299998091767,0.00019094049991963402,0.00021484399985638447
sobol,60,128,fresh,True,scipy,cpu,2,"[1435798803, 123631634, 401477532, 2830389294, 3486143785, 2006644207, 53565210]",0.0027145090000431082,0.00540503299998818,"[0.004176063999921098, 0.0041377350000857405, 0.004144267999890872, 0.004134198999963701, 0.0041568110000298475, 0.004149725999923248, 0.004157396999971752]",0.004149725999923248,0.004141001499988306,0.0041571040000008
sobol,60,512,fresh,True,jax,gpu,0,"[806133955, 3211348397, 2569641124, 2826065008, 717259083, 1363123762, 1108077240]",0.00022363899984156888,2.3150736939999206,"[0.00022415500006900402, 0.0001823449999847071, 0.00018225000007987546, 0.00019340599988026952, 0.00019094399999630696, 0.0001836839999214135, 0.0001747070000419626]",0.0001836839999214135,0.00018229750003229128,0.00019217499993828824
sobol,60,512,fresh,True,scipy,cpu,1,"[806133955, 3211348397, 2569641124, 2826065008, 717259083, 1363123762, 1108077240]",0.003364219999866691,0.005628729999898496,"[0.004202521000024717, 0.004210193999824696, 0.0041981669999131555, 0.004187716999922486, 0.004197001999955319, 0.0042213169999740785, 0.004218249000132346]",0.004202521000024717,0.004197584499934237,0.004214221499978521
sobol,60,512,fresh,True,jax,cpu,2,"[806133955, 3211348397, 2569641124, 2826065008, 717259083, 1363123762, 1108077240]",0.0002221859999735898,0.5186457390000214,"[0.0004082959999323066, 0.00039823500014790625, 0.0004281599999558239, 0.0003741370001080213, 0.000322750000123051, 0.00032843700000739773, 0.0003387470001143811]",0.0003741370001080213,0.0003335920000608894,0.0004032655000401064
sobol,60,2048,fresh,True,scipy,cpu,0,"[2863833294, 3413625225, 21384031, 155343043, 753014721, 3025084343, 2800978136]",0.004927681000026496,0.006424942999956329,"[0.0043796609998025815, 0.0043747009999606234, 0.004346058000010089, 0.004357935999905749, 0.004361065000011877, 0.004327622000118936, 0.0043543790000057925]",0.004357935999905749,0.004350218500007941,0.00436788299998625
sobol,60,2048,fresh,True,jax,cpu,1,"[2863833294, 3413625225, 21384031, 155343043, 753014721, 3025084343, 2800978136]",0.00021334500002012646,0.5243321710001965,"[0.000795923999930892, 0.0007694690000334958, 0.000768977999996423, 0.000737664000098448, 0.0007585719999951834, 0.0007634889998371364, 0.0007702509999489848]",0.000768977999996423,0.0007610304999161599,0.0007698599999912403
sobol,60,2048,fresh,True,jax,gpu,2,"[2863833294, 3413625225, 21384031, 155343043, 753014721, 3025084343, 2800978136]",0.005636055999957534,1.7728856189999078,"[0.00025374799997734954, 0.00033921500016731443, 0.0002917240001352184, 0.0003302080001503782, 0.00029373699999268865, 0.00023535100012850307, 0.000224434000074325]",0.0002917240001352184,0.0002445495000529263,0.00031197250007153343
